# GENERATED by uptake-assets' the_name_guard_cases_file_is_current test.
# Do not hand-edit. Regenerate with:
#   UPTAKE_REGENERATE_NAME_GUARD=1 cargo test -p uptake-assets name_guard
# Read by scripts/control-rust-consts.py, which asserts the Python guard agrees.
# name\tverdict  (verdict is `plain` or `refused`)
	refused
\x00	plain
\x00model.onnx	plain
\x01	plain
\x01model.onnx	plain
\x02	plain
\x02model.onnx	plain
\x03	plain
\x03model.onnx	plain
\x04	plain
\x04model.onnx	plain
\x05	plain
\x05model.onnx	plain
\x06	plain
\x06model.onnx	plain
\x07	plain
\x07model.onnx	plain
\x08	plain
\x08model.onnx	plain
\t	plain
\tmodel.onnx	plain
\n	plain
\nmodel.onnx	plain
\x0b	plain
\x0bmodel.onnx	plain
\x0c	plain
\x0cmodel.onnx	plain
\r	plain
\rmodel.onnx	plain
\x0e	plain
\x0emodel.onnx	plain
\x0f	plain
\x0fmodel.onnx	plain
\x10	plain
\x10model.onnx	plain
\x11	plain
\x11model.onnx	plain
\x12	plain
\x12model.onnx	plain
\x13	plain
\x13model.onnx	plain
\x14	plain
\x14model.onnx	plain
\x15	plain
\x15model.onnx	plain
\x16	plain
\x16model.onnx	plain
\x17	plain
\x17model.onnx	plain
\x18	plain
\x18model.onnx	plain
\x19	plain
\x19model.onnx	plain
\x1a	plain
\x1amodel.onnx	plain
\x1b	plain
\x1bmodel.onnx	plain
\x1c	plain
\x1cmodel.onnx	plain
\x1d	plain
\x1dmodel.onnx	plain
\x1e	plain
\x1emodel.onnx	plain
\x1f	plain
\x1fmodel.onnx	plain
 	refused
 model.onnx	plain
!	plain
!model.onnx	plain
"	plain
"model.onnx	plain
#	plain
#model.onnx	plain
$	plain
$model.onnx	plain
%	plain
%model.onnx	plain
&	plain
&model.onnx	plain
'	plain
'model.onnx	plain
(	plain
(model.onnx	plain
)	plain
)model.onnx	plain
*	plain
*model.onnx	plain
+	plain
+model.onnx	plain
,	plain
,model.onnx	plain
-	plain
-model.onnx	plain
.	refused
..	refused
...	refused
.model.onnx	plain
/	refused
/model.onnx	refused
0	plain
0model.onnx	plain
1	plain
1model.onnx	plain
2	plain
2model.onnx	plain
3	plain
3model.onnx	plain
4	plain
4model.onnx	plain
5	plain
5model.onnx	plain
6	plain
6model.onnx	plain
7	plain
7model.onnx	plain
8	plain
8model.onnx	plain
9	plain
9model.onnx	plain
:	refused
:model.onnx	refused
;	plain
;model.onnx	plain
<	plain
<model.onnx	plain
=	plain
=model.onnx	plain
>	plain
>model.onnx	plain
?	plain
?model.onnx	plain
@	plain
@model.onnx	plain
A	plain
AUX	refused
AUX.onnx	refused
AUXx	plain
